Audio File,Average Depth of Pitch Variation (cents),Average Depth of Pitch Variation (Hz),Tonal Center of Vibrato (Hz),Physical Depth of Vibrato,Physical Center of Vibrato,String Frequency,Vibrato Frequency (Hz),File Source
pfD4.wav,10.3673845,2.64882357,297.445483,0.00660104,0.25868769,220.5,6.21243426,Commercial Recording
pfA3.wav,8.33331707,2.12787627,222.078964,0.00633441,0.33883877,146.83,6.84499172,Commercial Recording
"pfA4,1.wav",19.0718206,4.8850534,445.151713,0.00543513,0.50466326,220.5,6.12871437,Commercial Recording
pfA4.wav,12.6924799,3.24505655,443.781552,0.00363303,0.50313392,220.5,6.73076923,Commercial Recording
"pfAFlat4,1.wav",16.0121633,4.09772449,417.303125,0.00518808,0.47160712,220.5,6.00054427,Commercial Recording
"pfAFlat4,2.wav",22.3447172,5.72879605,419.335392,0.00718237,0.47416792,220.5,6.19208088,Commercial Recording
"pfAFlat4,3.wav",17.6642487,4.52267594,419.867049,0.00565627,0.47483376,220.5,6.041758,Commercial Recording
pfAFlat4.wav,17.8642609,4.57415087,417.04269,0.00579837,0.47127715,220.5,6.12363919,Commercial Recording
"pfB3,1.wav",7.23205667,1.84608652,252.278372,0.00639554,0.1259655,220.5,5.90564738,Commercial Recording
pfB3.wav,8.56859752,2.18810291,250.253876,0.00770338,0.11889477,220.5,6.66565901,Commercial Recording
pfB4.wav,20.8639176,5.34685289,505.740371,0.00460896,0.56400554,220.5,6.14929351,Commercial Recording
pfBFlat2.wav,3.40201517,0.86745276,118.133338,0.00406495,0.44638828,65.4,6.4568082,Commercial Recording
pfBFlat4.wav,19.8397862,5.08288935,466.965288,0.00513924,0.52780216,220.5,6.75965665,Commercial Recording
pfD3.wav,5.62277359,1.43462651,148.776976,0.00635116,0.34129593,98,6.60707151,Commercial Recording
pfDSharp4.wav,11.0557608,2.82526307,312.83916,0.00636488,0.29516497,220.5,6.5140325,Commercial Recording
pfEFlat4.wav,10.4513997,2.67035395,312.670241,0.00602244,0.29478418,220.5,6.40562749,Commercial Recording
pfFSharp4.wav,14.262924,3.64822476,375.294913,0.00571089,0.41246206,220.5,6.4031151,Commercial Recording
pfG3.wav,5.11961418,1.30605764,199.51898,0.00481715,0.26408004,146.83,6.27609108,Commercial Recording
pfG5.wav,37.6838667,9.70450735,795.571338,0.00338033,0.72284069,220.5,6.65492958,Commercial Recording
pfGSharp4.wav,19.2288247,4.92549217,424.806746,0.00601751,0.48094045,220.5,7.10373711,Commercial Recording
yymF6.wav,70.5458847,18.3414239,1402.51723,0.00205566,0.84278268,220.5,6.684519,Commercial Recording
yymF2.wav,4.81603673,1.22850465,87.9649264,0.01038128,0.25652186,65.4,5.94916901,Commercial Recording
yymE4.wav,12.52109,3.20107905,332.930964,0.00636732,0.33770053,220.5,6.15097077,Commercial Recording
yymDSharp4.wav,5.79003133,1.47737301,314.301221,0.00329759,0.2984437,220.5,5.52477728,Commercial Recording
"yymDSharp4,1.wav",6.46588941,1.65014588,318.174334,0.00359409,0.3069837,220.5,7.25328947,Commercial Recording
yymBflat4.wav,23.492546,6.02508077,468.00327,0.00606459,0.52884945,220.5,6.30180051,Commercial Recording
yymB4.wav,12.4507586,3.18303372,502.620534,0.00277813,0.56129926,220.5,5.9772296,Commercial Recording
"yymFSharp4,3.wav",15.5698218,3.98401366,374.503961,0.00626278,0.41122118,220.5,7.02527613,Commercial Recording
yymD4.wav,13.284842,3.39708622,294.728946,0.00862208,0.25185496,220.5,6.16610738,Commercial Recording
"yymFSharp4,2.wav",12.9312962,3.30634246,375.0893,0.00518147,0.41213999,220.5,6.64649416,Commercial Recording
"yymB3,1.wav",9.20444655,2.35090729,248.150641,0.00560506,0.40830296,146.83,5.63112912,Commercial Recording
yymC4.wav,8.54738944,2.18267377,261.802637,0.00467547,0.43915767,146.83,6.33329504,Commercial Recording
yymA4.wav,14.9689188,3.82958867,447.398032,0.00421833,0.50715027,220.5,6.615,Commercial Recording
yymC5.wav,19.3773199,4.96374269,530.32493,0.00389131,0.58421717,220.5,6.37066621,Commercial Recording
"yymFSharp4,1.wav",18.3158686,4.69039797,371.689292,0.00748495,0.40676257,220.5,6.2217833,Commercial Recording
yymB3.wav,10.0286802,2.56203514,248.36419,0.00915734,0.11219085,220.5,6.20311328,Commercial Recording
"yymEFlat4,1.wav",11.5233751,2.94515849,313.265192,0.0066169,0.29612352,220.5,6.75882786,Commercial Recording
"yymEFlat4,2.wav",14.7256317,3.76708199,312.782654,0.00848917,0.29503763,220.5,6.51018601,Commercial Recording
yymG4.wav,19.0066236,4.86826201,398.1649,0.00677005,0.44620935,220.5,6.68271821,Commercial Recording
yymFSharp4.wav,12.0280061,3.07458129,373.744752,0.00485305,0.41002516,220.5,6.06435644,Commercial Recording
yymEFlat4.wav,12.851825,3.28594733,313.480734,0.00737225,0.29660749,220.5,6.09597156,Commercial Recording
mrA4.wav,21.3212926,5.4647889,446.669041,0.00603873,0.50634591,220.5,6.85789414,Commercial Recording
mrF5.wav,52.011808,13.4500806,704.108686,0.00597992,0.68683812,220.5,7.21801347,Commercial Recording
mrC5.wav,23.904247,6.13139947,525.716398,0.0048911,0.58057234,220.5,7.06566069,Commercial Recording
"mrF5,1.wav",41.0667488,10.5860582,704.535555,0.00470153,0.68702786,220.5,7.08244111,Commercial Recording
mrE5.wav,42.7088186,11.0145893,669.671438,0.00541422,0.67073405,220.5,6.73664455,Commercial Recording
mrBFlat5.wav,73.6564691,19.1674847,942.645809,0.00475442,0.76608393,220.5,7.51363017,Commercial Recording
mrBFlat4.wav,30.1211763,7.73995229,469.169556,0.0077512,0.53002066,220.5,6.68632076,Commercial Recording
"mrC5,1.wav",25.3361649,6.50137851,527.847091,0.00514437,0.58226539,220.5,7.10540192,Commercial Recording
mrFSharp4.wav,23.2630337,5.96582191,374.707593,0.00936664,0.41154115,220.5,6.16610738,Commercial Recording
mrGSharp3.wav,8.72147064,2.22723947,208.699777,0.00750738,0.29645349,146.83,6.53914591,Commercial Recording
mrCSharp4.wav,10.6371701,2.71796463,279.432738,0.0051105,0.4745426,146.83,6.72985621,Commercial Recording
"mrA4,1.wav",36.3388257,9.35447923,444.383489,0.01044047,0.50380695,220.5,6.13590828,Commercial Recording
mrE4.wav,12.2665173,3.13576544,334.035336,0.00619625,0.3398902,220.5,6.47441275,Commercial Recording
Vc-ord-A2-ff-4c-N.wav,2.9308343,0.74720838,109.786763,0.00405415,0.40429977,65.4,5.11290668,TinySOL Soundbank
Vc-ord-A3-ff-2c-N.wav,7.54626186,1.92646685,221.148202,0.00578213,0.33619176,146.8,5.1580671,TinySOL Soundbank
Vc-ord-A5-mf-1c-N.wav,42.0860083,10.8520066,885.214454,0.00304629,0.75147265,220,5.23433261,TinySOL Soundbank
Vc-ord-B3-ff-2c-N.wav,4.71726701,1.20327552,247.578795,0.00288174,0.40705746,146.8,5.30777166,TinySOL Soundbank
Vc-ord-B5-ff-1c-N.wav,37.5247035,9.66307317,989.482408,0.0021711,0.77766154,220,5.25071438,TinySOL Soundbank
Vc-ord-C#3-ff-3c-N.wav,4.94447983,1.26131553,138.714659,0.00642346,0.29351375,98,5.41715802,TinySOL Soundbank
Vc-ord-C#3-ff-4c-N.wav,4.55199804,1.16106344,139.068303,0.00392597,0.52972749,65.4,5.63496661,TinySOL Soundbank
Vc-ord-C#5-ff-1c-N.wav,20.2029701,5.1764799,552.050142,0.00373647,0.60148548,220,5.32314802,TinySOL Soundbank
Vc-ord-C4-ff-3c-N.wav,8.92309339,2.27886154,261.618143,0.00326269,0.62540824,98,5.22511848,TinySOL Soundbank
Vc-ord-D#5-ff-1c-N.wav,22.9875157,5.894695,623.557419,0.00333497,0.64718566,220,5.34847995,TinySOL Soundbank
Vc-ord-D3-mf-3c-N.wav,6.14972463,1.56931475,146.546558,0.00716036,0.33127054,98,5.12178126,TinySOL Soundbank
Vc-ord-D5-ff-1c-N.wav,21.6406534,5.54715587,587.743947,0.00353247,0.62568734,220,5.21753534,TinySOL Soundbank
Vc-ord-E2-ff-4c-N.wav,1.48871921,0.37938691,82.3994164,0.00365429,0.20630506,65.4,5.22610922,TinySOL Soundbank
Vc-ord-E5-ff-1c-N.wav,25.9691222,6.6650196,657.673303,0.00338968,0.66548741,220,5.42426529,TinySOL Soundbank
Vc-ord-F#4-ff-2c-N.wav,12.4294273,3.17756079,370.108842,0.00340509,0.60335992,146.8,5.6059322,TinySOL Soundbank
Vc-ord-F5-ff-1c-N.wav,33.2576578,8.5536726,699.025527,0.00385056,0.68527616,220,5.41999869,TinySOL Soundbank
Vc-ord-G#3-ff-3c-N.wav,4.81682717,1.22870657,208.304957,0.00277498,0.52953592,98,5.47454317,TinySOL Soundbank
Vc-ord-G2-ff-4c-N.wav,2.88881359,0.73648637,98.0311089,0.00501176,0.33286484,65.4,5.01006232,TinySOL Soundbank
Vc-ord-G4-mf-2c-N.wav,11.6690795,2.98252346,391.379237,0.00285818,0.62491623,146.8,5.32026123,TinySOL Soundbank
Vc-ord-G5-ff-1c-N.wav,40.5596264,10.4537965,783.785766,0.00374304,0.71931106,220,5.567432,TinySOL Soundbank
Vc-ord-G#2-mf-3c-N.wav,2.04163305,0.52037521,104.160809,0.00470027,0.0591471,98,4.32239937,TinySOL Soundbank
Vc-ord-G4-ff-2c-N.wav,19.6412718,5.03174157,391.692446,0.00481374,0.62521616,146.8,5.78057413,TinySOL Soundbank
Vc-ord-A#2-ff-4c-N.wav,3.01191032,0.76789648,115.910407,0.0037378,0.43577111,65.4,5.4285386,TinySOL Soundbank
Vc-ord-A#3-mf-1c-N.wav,4.82863412,1.23172256,232.62356,0.00500744,0.05426604,220,4.98868778,TinySOL Soundbank
Vc-ord-B3-mf-1c-N.wav,4.61108433,1.17615447,246.511355,0.00425798,0.10754618,220,4.5886515,TinySOL Soundbank
Vc-ord-B4-ff-2c-N.wav,20.8689684,5.3481551,495.407892,0.00319855,0.70367852,146.8,5.42568898,TinySOL Soundbank
Vc-ord-C#4-ff-3c-N.wav,7.29558322,1.86233678,276.645049,0.00238462,0.64575545,98,5.16082654,TinySOL Soundbank
Vc-ord-C3-pp-4c-N.wav,2.01033323,0.51239282,130.546894,0.00196626,0.49903059,65.4,4.89966498,TinySOL Soundbank
Vc-ord-C5-ff-2c-N.wav,19.4809897,4.99044872,522.776597,0.00268036,0.71919171,146.8,5.49345602,TinySOL Soundbank
Vc-ord-D#4-ff-3c-N.wav,13.5950866,3.47673123,312.454193,0.00348956,0.68635403,98,5.45720037,TinySOL Soundbank
Vc-ord-D4-mf-1c-N.wav,7.37434244,1.88248442,294.212952,0.00213116,0.66690793,98,4.89163823,TinySOL Soundbank
Vc-ord-E3-ff-2c-N.wav,5.25172173,1.33981056,164.901103,0.00723259,0.10976945,146.8,5.26504298,TinySOL Soundbank
Vc-ord-E4-mf-3c-N.wav,12.0745945,3.08653172,328.528312,0.00280229,0.70169999,98,5.38680782,TinySOL Soundbank
Vc-ord-F#3-ff-3c-N.wav,4.27743144,1.09094407,186.122351,0.00308615,0.47346463,98,5.31820813,TinySOL Soundbank
Vc-ord-F#5-pp-1c-N.wav,20.288195,5.19844474,740.040682,0.00208816,0.70271905,220,5.14020248,TinySOL Soundbank
Vc-ord-F4-ff-2c-N.wav,15.2993683,3.91450366,349.773117,0.00469651,0.58029936,146.8,5.62356542,TinySOL Soundbank
Vc-ord-F5-pp-1c-N.wav,18.2423781,4.67147892,699.091155,0.00210276,0.6853057,220,4.95283019,TinySOL Soundbank
Vc-ord-G#4-mf-2c-N.wav,15.9170861,4.07328096,413.749229,0.00349264,0.64519571,146.8,5.39524338,TinySOL Soundbank
Vc-ord-G5-mf-1c-N.wav,31.3492165,8.05837613,785.654006,0.00287185,0.71997852,220,5.27511962,TinySOL Soundbank
Vc-ord-A#4-mf-2c-N.wav,17.349679,4.44173067,464.902712,0.00301658,0.68423501,146.8,5.25133367,TinySOL Soundbank
